6.02.2023 18:51,38.119,37.783,7,MW,4.1,Doğanşehir (Malatya),543678
6.02.2023 18:44,38.051,36.537,6.85,MW,4.4,Göksun (Kahramanmaraş),543685
6.02.2023 18:40,37.906,36.618,7.08,MW,4.7,Onikişubat (Kahramanmaraş),543679
6.02.2023 18:38,37.903,37.595,7.1,MW,4.5,Gölbaşı (Adıyaman),543676
6.02.2023 18:33,38.259,38.174,7,MW,5.3,Yeşilyurt (Malatya),543669
6.02.2023 18:27,38.002,36.751,7,MW,3.8,Göksun (Kahramanmaraş),543672
6.02.2023 18:26,39.276,43.59,7,ML,2.2,Diyadin (Ağrı),543675
6.02.2023 18:22,38.038,37.834,7,MW,3.7,Doğanşehir (Malatya),543673
6.02.2023 18:21,38.033,37.096,7.32,MW,4.1,Ekinözü (Kahramanmaraş),543671
6.02.2023 18:20,38.149,37.841,7,MW,3.9,Doğanşehir (Malatya),543670
6.02.2023 18:14,37.977,37.727,24.5,MW,5,Doğanşehir (Malatya),543664
6.02.2023 18:10,38.031,36.536,6.99,MW,3.9,Göksun (Kahramanmaraş),543667
6.02.2023 18:08,37.962,37.654,14.34,MW,4.2,Doğanşehir (Malatya),543666
6.02.2023 18:06,38.79,40.01,7.69,MW,4.3,Kovancılar (Elazığ),543674
6.02.2023 18:03,37.077,36.639,6.97,MW,3.6,İslahiye (Gaziantep),543665
6.02.2023 18:01,38.027,36.629,7.12,MW,4,Göksun (Kahramanmaraş),543668
6.02.2023 17:57,38.097,37.832,7.11,MW,4.4,Doğanşehir (Malatya),543660
6.02.2023 17:53,36.845,36.627,7,MW,4,Hassa (Hatay),543658
6.02.2023 17:51,38.008,38.491,7.2,MW,4.4,Sincik (Adıyaman),543657
6.02.2023 17:46,36.802,34.504,7,ML,2.7,Mezitli (Mersin),543661
6.02.2023 17:45,39.498,33.194,7.39,ML,2.1,Bala (Ankara),543662
6.02.2023 17:41,38.142,37.869,7.08,MW,4.1,Doğanşehir (Malatya),543659
6.02.2023 17:39,37.336,29.757,7,ML,1.6,Tefenni (Burdur),543663
6.02.2023 17:37,36.949,36.61,6.8,MW,4.1,İslahiye (Gaziantep),543656
6.02.2023 17:29,37.962,36.42,7.02,MW,4.7,Göksun (Kahramanmaraş),543655
6.02.2023 17:27,36.853,36.51,9.17,ML,4.7,Hassa (Hatay),543651
6.02.2023 17:27,38.145,37.701,6.22,ML,3.5,Elbistan (Kahramanmaraş),543653
6.02.2023 17:24,37.514,37.184,7,ML,4,Dulkadiroğlu (Kahramanmaraş),543649
6.02.2023 17:22,38.327,38.119,6.87,ML,3.8,Yeşilyurt (Malatya),543654
6.02.2023 17:20,38.24,38.216,6.98,ML,4.1,Yeşilyurt (Malatya),543652
6.02.2023 17:17,37.984,37.541,7.47,ML,4.1,Nurhak (Kahramanmaraş),543650
6.02.2023 17:14,37.413,36.856,12.63,ML,4.1,Türkoğlu (Kahramanmaraş),543644
6.02.2023 17:14,37.47,36.889,7.12,ML,4.2,Türkoğlu (Kahramanmaraş),543648
6.02.2023 17:10,38.003,37.467,7.17,MW,4.7,Nurhak (Kahramanmaraş),543643
6.02.2023 17:06,37.321,37.121,6.85,ML,3.3,Pazarcık (Kahramanmaraş),543647
6.02.2023 17:04,37.955,36.544,7.23,ML,4.4,Göksun (Kahramanmaraş),543646
6.02.2023 17:03,38.106,37.804,14.07,ML,4.2,Doğanşehir (Malatya),543645
6.02.2023 16:58,38.069,36.519,7,ML,4.2,Göksun (Kahramanmaraş),543642
6.02.2023 16:52,38.309,38.129,7.11,ML,3.7,Yeşilyurt (Malatya),543641
6.02.2023 16:44,38.014,37.566,6.83,ML,5.1,Nurhak (Kahramanmaraş),543639
